H,M,E,B,HSubs,MSubs,ESubs,BSubs
0,0.442368,0.11,0.5,1,49,9,3
0,0.442368,0.11,0.75,1,49,9,4
0,0.442368,0.11,1,1,49,9,5
0,0.442368,0.12,0,1,49,10,1
0,0.442368,0.12,0.75,1,49,10,4
0,0.442368,0.13,0.75,1,49,11,4
0.010976,0.070304,0.18,1,15,27,16,5
0.010976,0.078732,0.13,1,15,28,11,5
0.010976,0.078732,0.14,1,15,28,12,5
0.010976,0.078732,0.16,1,15,28,14,5
0.010976,0.078732,0.17,1,15,28,15,5
0.010976,0.078732,0.18,1,15,28,16,5
0.010976,0.097556,0.12,1,15,30,10,5
0.010976,0.097556,0.13,1,15,30,11,5
0.010976,0.097556,0.14,1,15,30,12,5
0.010976,0.097556,0.15,0.75,15,30,13,4
0.010976,0.097556,0.16,1,15,30,14,5
0.010976,0.097556,0.17,0.75,15,30,15,4
0.010976,0.097556,0.17,1,15,30,15,5
0.010976,0.108,0.12,1,15,31,10,5
0.010976,0.108,0.15,1,15,31,13,5
0.010976,0.108,0.16,0.5,15,31,14,3
0.010976,0.108,0.16,1,15,31,14,5
0.010976,0.108,0.17,1,15,31,15,5
0.010976,0.108,0.18,0.5,15,31,16,3
0.010976,0.131072,0.1,1,15,33,8,5
0.010976,0.131072,0.12,0.75,15,33,10,4
0.010976,0.131072,0.12,1,15,33,10,5
0.010976,0.131072,0.14,0.5,15,33,12,3
0.010976,0.131072,0.14,1,15,33,12,5
0.010976,0.131072,0.15,0.75,15,33,13,4
0.010976,0.131072,0.15,1,15,33,13,5
0.010976,0.131072,0.16,1,15,33,14,5
0.010976,0.131072,0.17,0.5,15,33,15,3
0.010976,0.131072,0.17,1,15,33,15,5
0.010976,0.131072,0.18,0.5,15,33,16,3
0.010976,0.143748,0.09,1,15,34,7,5
0.010976,0.143748,0.1,1,15,34,8,5
0.010976,0.143748,0.12,0.75,15,34,10,4
0.010976,0.143748,0.12,1,15,34,10,5
0.010976,0.143748,0.13,0.5,15,34,11,3
0.010976,0.143748,0.14,0.5,15,34,12,3
0.010976,0.143748,0.14,0.75,15,34,12,4
0.010976,0.143748,0.14,1,15,34,12,5
0.010976,0.143748,0.15,0.75,15,34,13,4
